process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
Zy_lly,FM2odd,0.010126453215242885,,93.982,,6.019,10.956,,11.043,,9.761
Zy_lly,FM3,0.010130124962121016,,95.496,,4.504,10.282,,10.299,,9.946
Zy_lly,FM3odd,0.003098062464619532,,96.659,,3.353,13.359,,13.625,,8.572
Zy_lly,FM4,0.009835163063021398,,93.037,,6.963,9.832,,9.836,,9.779
Zy_lly,FM4odd,0.009655120692192069,,97.678,,2.323,13.567,,13.699,,9.655
Zy_lly,FM5,0.02411693764886216,,98.965,,1.035,10.014,,10.014,,9.974
Zy_lly,FM5odd,0.018275971064420166,,69.509,,30.496,10.542,,10.875,,9.855
Zy_lly,FM6odd,0.0033449536132137314,,99.575,,0.428,13.227,,13.263,,8.183
Zy_lly,FM7,0.0006193577693438146,,95.93,,4.082,11.503,,11.581,,9.958
Zy_lly,FM8,0.004081733357106539,,96.976,,3.045,11.161,,11.266,,8.657
Zy_lly,FM9,0.018118435860944745,,99.735,,0.265,10.084,,10.084,,10.097
Zy_lly,FT0,4.153345089820138,,,,100.0,17.999,,,,17.999
Zy_lly,FT1,2.6493051095144575,,,,100.0,17.445,,,,17.445
Zy_lly,FT2,0.6355691010790955,,,,100.0,17.814,,,,17.814
Zy_lly,FT2odd,15.678811088362346,,,,100.0,18.581,,,,18.581
Zy_lly,FT3,0.5955486170967463,,,,100.0,17.473,,,,17.473
Zy_lly,FT3odd,15.634566749059037,,,,100.0,18.316,,,,18.316
Zy_lly,FT4,0.2814021585522624,,,,100.0,14.882,,,,14.882
Zy_lly,FT4odd,1.8455265338487536,,,,100.0,13.999,,,,13.999
Zy_lly,FT5,3.855144560482417,,,,100.0,17.301,,,,17.301
Zy_lly,FT5odd,40.974725881870825,,,,100.0,18.858,,,,18.858
Zy_lly,FT6,0.8320275468054719,,,,100.0,14.079,,,,14.079
Zy_lly,FT6odd,30.15944880478323,,,,100.0,17.385,,,,17.385
osWW_lvlv,FM0,0.6284118535267162,93.835,1.888,1.595,2.693,5.646,5.642,5.111,3.585,10.103
osWW_lvlv,FM1,0.0499023506754118,79.496,9.154,8.702,2.69,5.351,5.477,5.335,3.98,9.851
osWW_lvlv,FM1odd,0.2924682877692496,99.962,0.047,,0.004,5.7,5.702,4.081,4.534,6.692
osWW_lvlv,FM2,0.2981749984828652,99.879,0.058,0.06,0.002,6.06,6.061,5.598,5.753,4.362
osWW_lvlv,FM2odd,0.03670628471664475,97.196,4.349,,0.028,6.001,6.19,4.545,4.371,5.823
osWW_lvlv,FM3,0.01956946315919979,99.666,0.155,0.174,0.004,5.956,5.96,4.752,5.307,3.469
osWW_lvlv,FM3odd,0.0039503504727178874,57.362,34.77,,0.385,4.883,3.904,6.074,6.199,6.154
osWW_lvlv,FM4,0.03977106289622062,91.777,4.109,4.102,0.016,6.119,6.291,4.681,4.702,3.083
osWW_lvlv,FM4odd,0.015018779677900449,82.862,18.644,,0.04,5.433,5.833,4.451,5.064,3.609
osWW_lvlv,FM5,0.01852938265872589,63.799,17.784,18.419,0.031,5.752,5.936,5.375,5.554,2.236
osWW_lvlv,FM5odd,2.457213865798391,96.398,1.589,,2.675,5.591,5.607,3.815,4.273,9.638
osWW_lvlv,FM6odd,0.06492265258313841,38.785,38.755,,1.738,4.823,3.255,4.519,7.424,7.203
osWW_lvlv,FM7,0.015527525915188056,74.656,11.402,11.393,2.568,4.991,4.969,5.411,4.32,9.664
osWW_lvlv,FM8,0.005359201160398985,40.605,28.831,30.158,0.294,4.556,3.197,6.282,6.576,3.904
osWW_lvlv,FM9,0.07962513285121675,10.583,43.94,43.644,1.254,5.186,3.085,5.845,5.362,6.45
osWW_lvlv,FS0,0.0029488729092336913,99.332,0.324,0.341,0.004,9.728,9.745,7.407,8.134,5.281
osWW_lvlv,FS1,0.007577347970324691,99.768,0.11,0.116,0.007,10.757,10.765,8.318,8.286,6.313
osWW_lvlv,FS2,0.006390589809127939,99.758,0.118,0.118,0.007,10.904,10.913,8.284,8.109,6.375
osWW_lvlv,FT0,24.25440924104165,0.0,0.027,,99.973,5.336,4.474,3.211,,5.337
osWW_lvlv,FT1,8.905302566293837,0.0,0.046,,99.954,4.712,4.029,2.725,,4.714
osWW_lvlv,FT2,2.8496649703446684,0.0,0.035,,99.964,5.181,4.204,2.953,,5.182
osWW_lvlv,FT2odd,9.42262092155679,0.001,0.03,0.029,99.94,4.484,4.941,4.126,4.046,4.484
osWW_lvlv,FT3,2.3396643432877187,0.0,0.046,,99.953,4.975,3.833,2.883,,4.976
osWW_lvlv,FT3odd,9.51626106090733,0.0,0.028,0.03,99.941,4.641,3.351,4.094,4.429,4.641
osWW_lvlv,FT4,0.10660291563271772,0.0,0.025,,99.975,5.818,5.404,4.303,,5.818
osWW_lvlv,FT4odd,0.605168223262984,0.0,0.06,0.064,99.875,3.806,5.282,3.306,3.508,3.806
osWW_lvlv,FT5,2.3571258206549612,0.0,0.01,,99.989,5.958,4.756,4.644,,5.958
osWW_lvlv,FT5odd,229.2965291709141,0.0,0.029,0.032,99.939,4.865,4.817,3.337,4.019,4.866
osWW_lvlv,FT6,0.23854661753299017,0.001,0.047,,99.952,4.926,5.404,4.459,,4.926
osWW_lvlv,FT6odd,105.90737141775533,0.0,0.039,0.04,99.921,4.492,4.768,3.149,3.009,4.493
ssWW_lvlv,FM0,0.0660316160809859,0.11,49.844,49.903,0.103,10.355,6.122,10.334,10.388,8.491
ssWW_lvlv,FM1,0.02729446678877755,0.045,50.456,49.385,0.09,11.719,6.781,11.833,11.613,9.367
ssWW_lvlv,FM5odd,0.2621870588982616,0.055,50.743,49.117,0.087,10.687,16.469,10.884,10.49,9.482
ssWW_lvlv,FM6odd,0.03486133168966825,0.014,51.592,48.262,0.091,13.803,6.735,14.353,13.263,9.588
ssWW_lvlv,FM9,0.08248467061509962,0.009,50.488,49.426,0.064,13.038,14.718,13.173,12.909,8.432
ssWW_lvlv,FS0,0.009153437340349473,99.657,0.193,0.168,0.009,12.289,12.298,10.736,11.432,8.24
ssWW_lvlv,FS1,0.0011247452844071518,99.45,0.346,0.288,0.006,11.134,11.16,8.993,9.453,8.534
ssWW_lvlv,FS2,0.0011247452844071518,99.45,0.346,0.288,0.006,11.134,11.16,8.993,9.453,8.534
ssWW_lvlv,FT0,2.9161942547751365,0.0,0.154,0.147,99.843,14.601,11.159,8.696,8.299,14.654
ssWW_lvlv,FT1,11.792073527168686,0.0,0.055,0.055,99.914,17.018,15.665,12.791,12.746,17.029
ssWW_lvlv,FT2,1.3453169192160077,0.0,0.077,0.074,99.913,16.649,14.288,10.391,10.002,16.675
ssWW_lvlv,FT5odd,35.338431637539024,0.0,0.105,0.108,99.855,15.444,14.779,10.283,10.557,15.471
ssWW_lvlv,FT6odd,118.69718574885502,0.0,0.055,0.056,99.907,17.631,16.835,14.186,14.378,17.639
